id,category_id/id,sequence,name,community_level,oca_level,enterprise_level,oca_module_names,oca_repo_url,note,segment_ids/id
feat_quality_documents,escodoo_website.cat_quality,50,"Controlled documents and procedures",none,full,partial,"document_page; document_page_approval","https://github.com/OCA/knowledge","","escodoo_website.segment_manufacturing"
feat_maint_equipment,escodoo_website.cat_maintenance,10,"Equipment and asset registry",full,full,full,"","","","escodoo_website.segment_maintenance"
feat_maint_requests,escodoo_website.cat_maintenance,20,"Corrective maintenance requests",full,full,full,"","","","escodoo_website.segment_maintenance"
feat_maint_plans,escodoo_website.cat_maintenance,30,"Preventive maintenance plans and schedules",partial,full,full,"maintenance_plan","https://github.com/OCA/maintenance","","escodoo_website.segment_maintenance"
feat_maint_hierarchy,escodoo_website.cat_maintenance,40,"Asset hierarchy and parent equipment",none,full,partial,"maintenance_equipment_hierarchy","https://github.com/OCA/maintenance","","escodoo_website.segment_maintenance"
feat_maint_parts,escodoo_website.cat_maintenance,50,"Spare parts consumption on work orders",none,full,partial,"maintenance_request_stock_move","https://github.com/OCA/maintenance","","escodoo_website.segment_maintenance"
feat_maint_timesheet,escodoo_website.cat_maintenance,60,"Labour hours on maintenance requests",none,full,partial,"maintenance_timesheet","https://github.com/OCA/maintenance","","escodoo_website.segment_maintenance"
feat_maint_contracts,escodoo_website.cat_maintenance,70,"Maintenance contracts and service levels",none,full,partial,"contract","https://github.com/OCA/contract","","escodoo_website.segment_maintenance"
feat_maint_indicators,escodoo_website.cat_maintenance,80,"Availability and reliability indicators",none,partial,partial,"mis_builder","https://github.com/OCA/mis-builder","Mean time between failures and mean time to repair are built per client on the maintenance records. There is no generic module we would recommend.","escodoo_website.segment_maintenance"
feat_fsm_orders,escodoo_website.cat_field_service,10,"Field service orders and scheduling",none,full,full,"fieldservice","https://github.com/OCA/field-service","The community field service suite is the most complete in the ecosystem and stands comparison with the Enterprise app.","escodoo_website.segment_field_service"
feat_fsm_routes,escodoo_website.cat_field_service,20,"Routes and day planning per technician",none,full,full,"fieldservice_route","https://github.com/OCA/field-service","","escodoo_website.segment_field_service"
feat_fsm_recurring,escodoo_website.cat_field_service,30,"Recurring visits and service agreements",none,full,full,"fieldservice_recurring","https://github.com/OCA/field-service","","escodoo_website.segment_field_service"
feat_fsm_stock,escodoo_website.cat_field_service,40,"Van stock and parts consumed in the field",none,full,partial,"fieldservice_stock","https://github.com/OCA/field-service","","escodoo_website.segment_field_service"
feat_fsm_billing,escodoo_website.cat_field_service,50,"Billing from the field order",none,full,full,"fieldservice_sale; fieldservice_account","https://github.com/OCA/field-service","","escodoo_website.segment_field_service"
feat_fsm_skills,escodoo_website.cat_field_service,60,"Skill based technician assignment",none,full,partial,"fieldservice_skill","https://github.com/OCA/field-service","","escodoo_website.segment_field_service"
feat_fsm_geo,escodoo_website.cat_field_service,70,"Geolocation and territory management",none,full,partial,"fieldservice_geoengine; fieldservice_territory","https://github.com/OCA/field-service","","escodoo_website.segment_field_service"
feat_fsm_mobile,escodoo_website.cat_field_service,80,"Offline mobile app for technicians",none,partial,full,"","","An honest gap. The Enterprise mobile app works offline; a community deployment uses a responsive web view, which needs connectivity.","escodoo_website.segment_field_service"
feat_repair_orders,escodoo_website.cat_repair,10,"Repair orders with parts and labour",full,full,full,"","","","escodoo_website.segment_repair"
feat_repair_types,escodoo_website.cat_repair,20,"Repair types with their own workflow",none,full,none,"repair_type","https://github.com/OCA/repair","","escodoo_website.segment_repair"
feat_rma,escodoo_website.cat_repair,30,"Return merchandise authorisation",none,full,partial,"rma; rma_sale","https://github.com/OCA/rma","The community RMA suite is the reference implementation. Neither edition ships a dedicated RMA app.","escodoo_website.segment_repair"
feat_repair_warranty,escodoo_website.cat_repair,40,"Warranty control on repairs",none,partial,partial,"","","Delivered on top of the repair type and the equipment history rather than by a single module.","escodoo_website.segment_repair"
feat_repair_quotation,escodoo_website.cat_repair,50,"Repair quotation and customer approval",partial,full,full,"repair_type; repair_quick","https://github.com/OCA/repair","","escodoo_website.segment_repair"
feat_repair_collection,escodoo_website.cat_repair,60,"Collection and delivery of equipment",none,full,partial,"repair_stock; fieldservice","https://github.com/OCA/repair","","escodoo_website.segment_repair"
feat_repair_history,escodoo_website.cat_repair,70,"Service history by serial number",partial,partial,full,"","","Assembled from the standard serial traceability report rather than from a dedicated module, so it answers what happened to a unit without giving you a per-unit service file.","escodoo_website.segment_repair"
feat_project_tasks,escodoo_website.cat_projects,10,"Projects, tasks and stages",full,full,full,"","","","escodoo_website.segment_projects"
feat_project_timeline,escodoo_website.cat_projects,20,"Gantt timeline and task dependencies",partial,full,full,"project_timeline","https://github.com/OCA/project","","escodoo_website.segment_projects"
feat_project_templates,escodoo_website.cat_projects,30,"Project templates and recurring structures",none,full,full,"project_template","https://github.com/OCA/project","","escodoo_website.segment_projects"
feat_timesheets,escodoo_website.cat_projects,40,"Timesheets on tasks",full,full,full,"","","","escodoo_website.segment_projects"
feat_timesheet_sheet,escodoo_website.cat_projects,50,"Weekly timesheet with approval",none,full,partial,"hr_timesheet_sheet","https://github.com/OCA/timesheet","","escodoo_website.segment_projects"
feat_project_billing,escodoo_website.cat_projects,60,"Billing from timesheets and milestones",full,full,full,"","","","escodoo_website.segment_projects"
feat_project_forecast,escodoo_website.cat_projects,70,"Capacity forecast and resource planning",none,partial,full,"project_forecast_line","https://github.com/OCA/project","Enterprise has a dedicated planning app. The community module covers the forecast without the drag and drop board.","escodoo_website.segment_projects"
feat_project_wbs,escodoo_website.cat_projects,80,"Work breakdown structure and sub-projects",none,full,partial,"project_parent","https://github.com/OCA/project","","escodoo_website.segment_projects"
feat_hr_employees,escodoo_website.cat_hr,10,"Employee records and org chart",full,full,full,"","","",""
feat_hr_recruitment,escodoo_website.cat_hr,20,"Recruitment and job postings",full,full,full,"","","",""
feat_hr_holidays,escodoo_website.cat_hr,30,"Time off and public holidays",partial,full,full,"hr_holidays_public","https://github.com/OCA/hr-holidays","The community module loads the Brazilian national, state and municipal holiday calendars.",""
feat_hr_expenses,escodoo_website.cat_hr,40,"Expense reports and reimbursement",full,full,full,"","","",""
feat_hr_attendance,escodoo_website.cat_hr,50,"Attendance and time clock",full,full,full,"","","",""
feat_hr_appraisal,escodoo_website.cat_hr,60,"Appraisals and skill management",none,partial,full,"","","An honest gap: the Enterprise appraisal app is not matched by a community module.",""
feat_hr_payroll_br,escodoo_website.cat_hr,70,"Brazilian payroll",none,none,none,"","","Neither edition solves Brazilian payroll. We integrate a specialist payroll provider and post the accounting entries. Anyone telling you otherwise has not run a Brazilian payroll.",""
feat_hr_esocial,escodoo_website.cat_hr,80,"eSocial and labour filings",none,none,none,"","","Same as payroll: delivered by the specialist provider and integrated into the accounting.",""
feat_website_cms,escodoo_website.cat_marketing,10,"Website builder and pages",full,full,full,"","","",""
feat_ecommerce,escodoo_website.cat_marketing,20,"eCommerce with catalogue and checkout",full,full,full,"","","","escodoo_website.segment_trade"
feat_email_marketing,escodoo_website.cat_marketing,30,"Email marketing campaigns",full,full,full,"","","",""
feat_marketing_automation,escodoo_website.cat_marketing,40,"Marketing automation workflows",none,none,full,"","","An honest gap: Enterprise only.",""
feat_helpdesk,escodoo_website.cat_marketing,50,"Helpdesk and support tickets",none,full,full,"helpdesk_mgmt; helpdesk_mgmt_timesheet","https://github.com/OCA/helpdesk","The community helpdesk is what we run ourselves and for our support clients.","escodoo_website.segment_services"
feat_livechat,escodoo_website.cat_marketing,60,"Live chat on the website",full,full,full,"","","",""
feat_elearning,escodoo_website.cat_marketing,70,"eLearning and course delivery",full,full,full,"","","",""
feat_events,escodoo_website.cat_marketing,80,"Events and registrations",full,full,full,"","","",""
feat_social_marketing,escodoo_website.cat_marketing,90,"Social media publishing",none,none,full,"","","An honest gap: Enterprise only.",""
feat_dashboards,escodoo_website.cat_analytics,10,"Operational dashboards",partial,full,full,"mis_builder; bi_sql_editor","https://github.com/OCA/reporting-engine","",""
feat_spreadsheet,escodoo_website.cat_analytics,20,"Live spreadsheet reports",none,partial,full,"","","An honest gap. The Enterprise spreadsheet is genuinely good. The community answer is a report builder plus exports.",""
feat_pivot_reports,escodoo_website.cat_analytics,30,"Pivot and graph views on any model",full,full,full,"","","",""
feat_xlsx_reports,escodoo_website.cat_analytics,40,"Excel report generation",none,full,full,"report_xlsx","https://github.com/OCA/reporting-engine","",""
feat_sql_views,escodoo_website.cat_analytics,50,"Custom SQL views exposed as reports",none,full,none,"bi_sql_editor","https://github.com/OCA/reporting-engine","",""
feat_report_designer,escodoo_website.cat_analytics,60,"Printable document design",partial,full,partial,"report_qweb_element_page_visibility","https://github.com/OCA/reporting-engine","",""
feat_bi_export,escodoo_website.cat_analytics,70,"Export to an external business intelligence tool",partial,full,partial,"bi_sql_editor","https://github.com/OCA/reporting-engine","Read-only database access is available in both editions when you host it yourself, and not on the vendor cloud.",""
feat_studio,escodoo_website.cat_platform,10,"No-code customisation studio",none,none,full,"","","An honest gap, and one of the real reasons to choose Enterprise. We reach the same result in code, versioned and reviewable, but it is not a drag and drop screen.",""
feat_developer_customisation,escodoo_website.cat_platform,20,"Customisation through versioned modules",full,full,full,"","","The same mechanism in both editions. On Community you also own the deployment, which is what makes the code portable.",""
feat_api,escodoo_website.cat_platform,30,"External API",full,full,full,"","","",""
feat_rest_api,escodoo_website.cat_platform,40,"REST API with a documented schema",none,full,none,"base_rest; extendable","https://github.com/OCA/rest-framework","Standard Odoo exposes remote procedure calls. The community framework adds a documented REST layer, in either edition.",""
feat_queue_jobs,escodoo_website.cat_platform,50,"Asynchronous job queue",none,full,none,"queue_job","https://github.com/OCA/queue","No Enterprise equivalent, and any serious integration needs it.",""
feat_connector,escodoo_website.cat_platform,60,"Integration framework with mapping and retries",none,full,partial,"connector","https://github.com/OCA/connector","",""
feat_dms,escodoo_website.cat_platform,70,"Document management with folders and rights",none,full,full,"dms","https://github.com/OCA/dms","",""
feat_esign,escodoo_website.cat_platform,80,"Electronic signature",none,partial,full,"sign_oca","https://github.com/OCA/sign","The community module signs documents. It does not have the Enterprise template gallery.",""
feat_iot,escodoo_website.cat_platform,90,"Industrial device and scale integration",none,partial,full,"","","An honest gap. Devices are integrated case by case over the network rather than through a dedicated box.","escodoo_website.segment_manufacturing"
feat_voip,escodoo_website.cat_platform,100,"Telephony integration",none,partial,full,"","","An honest gap: integrated per telephone system when a client needs it.",""
feat_mobile_app,escodoo_website.cat_platform,110,"Branded native mobile app",none,none,full,"","","An honest gap, and a real reason to choose Enterprise. The community answer is a responsive web interface.",""
feat_web_responsive,escodoo_website.cat_platform,120,"Responsive back-office interface",partial,full,full,"web_responsive","https://github.com/OCA/web","",""
feat_users_groups,escodoo_website.cat_governance,10,"Users, groups and record level rules",full,full,full,"","","",""
feat_audit_log,escodoo_website.cat_governance,20,"Audit trail of data changes",none,full,none,"auditlog","https://github.com/OCA/server-tools","Neither Odoo edition ships an audit log. This is the row auditors ask about, and the community is the one that answers it.",""
feat_tier_validation,escodoo_website.cat_governance,30,"Generic multi-level approval on any document",none,full,partial,"base_tier_validation","https://github.com/OCA/server-ux","",""
feat_lgpd_consent,escodoo_website.cat_governance,40,"Consent register and data subject requests",none,full,none,"privacy_consent","https://github.com/OCA/data-protection","What a Brazilian data protection audit asks for, answered by a community module in either edition.",""
feat_sso,escodoo_website.cat_governance,50,"Single sign-on with OpenID Connect or SAML",none,full,full,"auth_oidc; auth_saml","https://github.com/OCA/server-auth","",""
feat_two_factor,escodoo_website.cat_governance,60,"Two-factor authentication",full,full,full,"","","",""
feat_data_residency,escodoo_website.cat_governance,70,"Choice of data residency and hosting provider",full,full,partial,"","","Self-hosting is possible in both editions, but the vendor cloud fixes the region for you. This is the row that decides public sector and regulated deals.",""
feat_source_ownership,escodoo_website.cat_governance,80,"Full source code access",full,full,partial,"","","Community is licensed as free software. Enterprise source is available under a subscription agreement that ends when the subscription does.",""
feat_exit_plan,escodoo_website.cat_governance,90,"Leaving the supplier without losing the system",full,full,partial,"","","On Community the repository and the deployment recipe are yours. Changing supplier becomes a commercial decision instead of a technical drama.",""
feat_backup_restore,escodoo_website.cat_governance,100,"Backup, restore and disaster recovery",full,full,full,"","","",""
